sourcing mix,pool_CV_%,worst_1yr_drop_%
Australia only (max concentration),26.540000400242576,-34.18616931345995
"Actual mix, GAIN Jul'25–Jan'26",14.867190340218206,-20.213590136667303
Equal-weight across the top 3,11.562188680692708,-15.032175878591392
