Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"2","'004","Afghanistan","6983","Grassland","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"19517.760000","E","21698.670000","E","22679.110000","E","23290.000000","E","24112.380000","E","24473.830000","E","25093.440000","E","25299.530000","E","25603.740000","E","25686.280000","E","25756.130000","E","25399.520000","E","25390.700000","E","25293.300000","E","25135.940000","E","25001.520000","E","24781.030000","E","23904.100000","E","24321.350000","E","24548.040000","E","23982.590000","E","23715.760000","E","23910.880000","E","23931.330000","E"
"2","'004","Afghanistan","6983","Grassland","5008","Area from CCI_LC","1000 ha","24019.620000","E","24019.590000","E","24019.590000","E","24030.520000","E","24029.540000","E","24038.290000","E","24040.360000","E","24177.120000","E","24237.450000","E","24291.530000","E","24372.710000","E","24446.580000","E","24572.420000","E","24603.990000","E","24618.020000","E","24701.590000","E","24739.540000","E","24756.390000","E","24754.510000","E","24782.270000","E","24782.650000","E","24780.940000","E","24744.970000","E","24744.720000","E","24753.100000","E","24732.200000","E","24649.730000","E","24662.140000","E","24665.490000","E","24640.010000","E","24452.450000","E",,,,
"2","'004","Afghanistan","6983","Grassland","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14037.590000","E","15013.440000","E",,,,,,
"2","'004","Afghanistan","6974","Tree-covered areas","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,,,,,,,,,
"2","'004","Afghanistan","6974","Tree-covered areas","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"513.820000","E","558.010000","E","525.620000","E","496.840000","E","480.210000","E","485.140000","E","482.990000","E","503.490000","E","522.030000","E","540.610000","E","537.570000","E","536.240000","E","524.910000","E","515.500000","E","514.580000","E","524.110000","E","520.910000","E","530.940000","E","534.030000","E","569.420000","E","575.880000","E","566.350000","E","590.200000","E","605.460000","E"
"2","'004","Afghanistan","6974","Tree-covered areas","5008","Area from CCI_LC","1000 ha","1265.140000","E","1265.230000","E","1265.300000","E","1242.660000","E","1242.340000","E","1241.720000","E","1241.580000","E","1242.560000","E","1228.810000","E","1198.290000","E","1185.810000","E","1174.120000","E","1167.520000","E","1166.020000","E","1163.010000","E","1161.630000","E","1161.420000","E","1163.660000","E","1162.960000","E","1162.960000","E","1162.580000","E","1163.550000","E","1166.260000","E","1166.800000","E","1168.150000","E","1170.720000","E","1172.060000","E","1182.570000","E","1184.360000","E","1190.800000","E","1195.580000","E",,,,
"2","'004","Afghanistan","6974","Tree-covered areas","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"641.840000","E","717.660000","E",,,,,,
"2","'004","Afghanistan","6975","Mangroves","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,,,,,,,,,
"2","'004","Afghanistan","6975","Mangroves","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"2","'004","Afghanistan","6975","Mangroves","5008","Area from CCI_LC","1000 ha","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E",,,,
